Date,Paracetamolo[it],
2010-02-17 01,10,
2010-02-17 02,1,
2010-02-17 03,2,
2010-02-17 04,3,
2010-02-17 05,3,
2010-02-17 06,4,
2010-02-17 07,8,
2010-02-17 08,17,
2010-02-17 09,39,
2010-02-17 10,36,
2010-02-17 11,57,
2010-02-17 12,41,
2010-02-17 13,19,
2010-02-17 14,21,
2010-02-17 15,30,
2010-02-17 16,35,
2010-02-17 17,24,
2010-02-17 18,22,
2010-02-17 19,21,
2010-02-17 20,27,
2010-02-17 21,22,
2010-02-17 22,25,
2010-02-17 23,20,
2010-02-18 00,10,
2010-02-18 01,6,
2010-02-18 02,5,
2010-02-18 03,0,
2010-02-18 04,6,
2010-02-18 05,3,
2010-02-18 06,4,
2010-02-18 07,4,
2010-02-18 08,20,
2010-02-18 09,18,
2010-02-18 10,23,
2010-02-18 11,41,
2010-02-18 12,54,
2010-02-18 13,21,
2010-02-18 14,21,
2010-02-18 15,21,
2010-02-18 16,43,
2010-02-18 17,27,
2010-02-18 18,31,
2010-02-18 19,5,
2010-02-18 20,26,
2010-02-18 21,18,
2010-02-18 22,29,
2010-02-18 23,25,
2010-02-19 00,16,
2010-02-19 01,6,
2010-02-19 02,4,
2010-02-19 03,7,
2010-02-19 04,3,
2010-02-19 05,0,
2010-02-19 06,4,
2010-02-19 07,9,
2010-02-19 08,20,
2010-02-19 09,27,
2010-02-19 10,50,
2010-02-19 11,33,
2010-02-19 12,13,
2010-02-19 13,20,
2010-02-19 14,24,
2010-02-19 15,20,
2010-02-19 16,34,
2010-02-19 17,34,
2010-02-19 18,24,
2010-02-19 19,26,
2010-02-19 20,22,
2010-02-19 21,27,
2010-02-19 22,28,
2010-02-19 23,27,
2010-02-20 00,13,
2010-02-20 01,19,
2010-02-20 02,2,
2010-02-20 03,5,
2010-02-20 04,1,
2010-02-20 05,2,
2010-02-20 06,0,
2010-02-20 07,3,
2010-02-20 08,5,
2010-02-20 09,10,
2010-02-20 10,32,
2010-02-20 11,41,
2010-02-20 12,52,
2010-02-20 13,33,
2010-02-20 14,28,
2010-02-20 15,28,
2010-02-20 16,21,
2010-02-20 17,34,
2010-02-20 18,26,
2010-02-20 19,23,
2010-02-20 20,37,
2010-02-20 21,27,
2010-02-20 22,17,
2010-02-20 23,27,
2010-02-21 00,18,
2010-02-21 01,10,
2010-02-21 02,6,
2010-02-21 03,6,
2010-02-21 04,4,
2010-02-21 05,2,
2010-02-21 06,6,
2010-02-21 07,2,
2010-02-21 08,5,
2010-02-21 09,18,
2010-02-21 10,16,
2010-02-21 11,30,
2010-02-21 12,22,
2010-02-21 13,34,
2010-02-21 14,17,
2010-02-21 15,25,
2010-02-21 16,18,
2010-02-21 17,24,
2010-02-21 18,34,
2010-02-21 19,27,
2010-02-21 20,25,
2010-02-21 21,27,
2010-02-21 22,27,
2010-02-21 23,27,
2010-02-22 00,13,
2010-02-22 01,10,
2010-02-22 02,8,
2010-02-22 03,3,
2010-02-22 04,1,
2010-02-22 05,3,
2010-02-22 06,2,
2010-02-22 07,2,
2010-02-22 08,18,
2010-02-22 09,13,
2010-02-22 10,38,
2010-02-22 11,43,
2010-02-22 12,38,
2010-02-22 13,37,
2010-02-22 14,30,
2010-02-22 15,36,
2010-02-22 16,24,
2010-02-22 17,26,
2010-02-22 18,18,
2010-02-22 19,36,
2010-02-22 20,21,
2010-02-22 21,26,
2010-02-22 22,17,
2010-02-22 23,20,
2010-02-23 00,13,
2010-02-23 01,8,
2010-02-23 02,4,
2010-02-23 03,3,
2010-02-23 04,3,
2010-02-23 05,3,
2010-02-23 06,6,
2010-02-23 07,6,
2010-02-23 08,14,
2010-02-23 09,25,
2010-02-23 10,46,
2010-02-23 11,36,
2010-02-23 12,32,
2010-02-23 13,34,
2010-02-23 14,30,
2010-02-23 15,22,
2010-02-23 16,31,
2010-02-23 17,29,
2010-02-23 18,24,
2010-02-23 19,17,
2010-02-23 20,30,
2010-02-23 21,19,
2010-02-23 22,22,
2010-02-23 23,8,
2010-02-24 00,9,
2010-02-24 01,1,
2010-02-24 02,4,
2010-02-24 03,1,
2010-02-24 04,4,
2010-02-24 05,3,
2010-02-24 06,2,
2010-02-24 07,6,
2010-02-24 08,14,
2010-02-24 09,19,
2010-02-24 10,21,
2010-02-24 11,30,
2010-02-24 12,57,
2010-02-24 13,31,
2010-02-24 14,32,
2010-02-24 15,23,
2010-02-24 16,21,
2010-02-24 17,13,
2010-02-24 18,27,
2010-02-24 19,12,
2010-02-24 20,16,
2010-02-24 21,23,
2010-02-24 22,16,
2010-02-24 23,24,
2010-02-25 00,4,
2010-02-25 01,11,
2010-02-25 02,5,
2010-02-25 03,0,
2010-02-25 04,1,
2010-02-25 05,1,
2010-02-25 06,4,
2010-02-25 07,3,
2010-02-25 08,5,
2010-02-25 09,17,
2010-02-25 10,21,
2010-02-25 11,27,
2010-02-25 12,23,
2010-02-25 13,19,
2010-02-25 14,20,
2010-02-25 15,14,
2010-02-25 16,21,
2010-02-25 17,25,
2010-02-25 18,24,
2010-02-25 19,15,
2010-02-25 20,31,
2010-02-25 21,17,
2010-02-25 22,21,
2010-02-25 23,20,
2010-02-26 00,11,
2010-02-26 01,3,
2010-02-26 02,3,
2010-02-26 03,5,
2010-02-26 04,2,
2010-02-26 05,2,
2010-02-26 06,1,
2010-02-26 07,3,
2010-02-26 08,15,
2010-02-26 09,30,
2010-02-26 10,0,
2010-02-26 11,0,
2010-02-26 12,10,
2010-02-26 13,19,
2010-02-26 14,24,
2010-02-26 15,16,
2010-02-26 16,23,
2010-02-26 17,22,
2010-02-26 18,26,
2010-02-26 19,28,
2010-02-26 20,23,
2010-02-26 21,25,
2010-02-26 22,26,
2010-02-26 23,21,
2010-02-27 00,7,
2010-02-27 01,6,
2010-02-27 02,3,
2010-02-27 03,1,
2010-02-27 04,0,
2010-02-27 05,4,
2010-02-27 06,1,
2010-02-27 07,1,
2010-02-27 08,5,
2010-02-27 09,14,
2010-02-27 10,14,
2010-02-27 11,19,
2010-02-27 12,16,
2010-02-27 13,23,
2010-02-27 14,27,
2010-02-27 15,19,
2010-02-27 16,25,
2010-02-27 17,13,
2010-02-27 18,24,
2010-02-27 19,20,
2010-02-27 20,23,
2010-02-27 21,18,
2010-02-27 22,14,
2010-02-27 23,11,
2010-02-28 00,11,
2010-02-28 01,8,
2010-02-28 02,14,
2010-02-28 03,5,
2010-02-28 04,2,
2010-02-28 05,2,
2010-02-28 06,1,
2010-02-28 07,2,
2010-02-28 08,15,
2010-02-28 09,11,
2010-02-28 10,30,
2010-02-28 11,30,
2010-02-28 12,19,
2010-02-28 13,29,
2010-02-28 14,20,
2010-02-28 15,8,
2010-02-28 16,14,
2010-02-28 17,16,
2010-02-28 18,18,
2010-02-28 19,25,
2010-02-28 20,12,
2010-02-28 21,17,
2010-02-28 22,23,
2010-02-28 23,15,
2010-03-01 00,7,
2010-03-01 01,12,
2010-03-01 02,10,
2010-03-01 03,4,
2010-03-01 04,3,
2010-03-01 05,4,
2010-03-01 06,4,
2010-03-01 07,1,
2010-03-01 08,9,
2010-03-01 09,11,
2010-03-01 10,36,
2010-03-01 11,28,
2010-03-01 12,10,
2010-03-01 13,22,
2010-03-01 14,15,
2010-03-01 15,18,
2010-03-01 16,26,
2010-03-01 17,27,
2010-03-01 18,17,
2010-03-01 19,16,
2010-03-01 20,28,
2010-03-01 21,27,
2010-03-01 22,14,
2010-03-01 23,20,
2010-03-02 00,24,
2010-03-02 01,6,
2010-03-02 02,1,
2010-03-02 03,2,
2010-03-02 04,4,
2010-03-02 05,1,
2010-03-02 06,5,
2010-03-02 07,6,
2010-03-02 08,9,
2010-03-02 09,25,
2010-03-02 10,34,
2010-03-02 11,35,
2010-03-02 12,25,
2010-03-02 13,11,
2010-03-02 14,26,
2010-03-02 15,23,
2010-03-02 16,22,
2010-03-02 17,27,
2010-03-02 18,14,
2010-03-02 19,14,
2010-03-02 20,26,
2010-03-02 21,29,
2010-03-02 22,28,
2010-03-02 23,18,
2010-03-03 00,20,
2010-03-03 01,8,
2010-03-03 02,6,
2010-03-03 03,6,
2010-03-03 04,4,
2010-03-03 05,4,
2010-03-03 06,6,
2010-03-03 07,8,
2010-03-03 08,13,
2010-03-03 09,14,
2010-03-03 10,30,
2010-03-03 11,24,
2010-03-03 12,29,
2010-03-03 13,28,
2010-03-03 14,34,
2010-03-03 15,25,
2010-03-03 16,28,
2010-03-03 17,29,
2010-03-03 18,18,
2010-03-03 19,14,
2010-03-03 20,18,
2010-03-03 21,29,
2010-03-03 22,12,
2010-03-03 23,15,
2010-03-04 00,4,
2010-03-04 01,5,
2010-03-04 02,3,
2010-03-04 03,1,
2010-03-04 04,6,
2010-03-04 05,1,
2010-03-04 06,3,
2010-03-04 07,4,
2010-03-04 08,10,
2010-03-04 09,22,
2010-03-04 10,32,
2010-03-04 11,29,
2010-03-04 12,26,
2010-03-04 13,22,
2010-03-04 14,24,
2010-03-04 15,36,
2010-03-04 16,37,
2010-03-04 17,26,
2010-03-04 18,31,
2010-03-04 19,22,
2010-03-04 20,20,
2010-03-04 21,26,
2010-03-04 22,26,
2010-03-04 23,28,
2010-03-05 00,13,
2010-03-05 01,12,
2010-03-05 02,5,
2010-03-05 03,0,
2010-03-05 04,1,
2010-03-05 05,3,
2010-03-05 06,4,
2010-03-05 07,2,
2010-03-05 08,13,
2010-03-05 09,29,
2010-03-05 10,22,
2010-03-05 11,25,
2010-03-05 12,37,
2010-03-05 13,21,
2010-03-05 14,25,
2010-03-05 15,22,
2010-03-05 16,18,
2010-03-05 17,18,
2010-03-05 18,21,
2010-03-05 19,23,
2010-03-05 20,18,
2010-03-05 21,12,
2010-03-05 22,23,
2010-03-05 23,12,
2010-03-06 00,4,
2010-03-06 01,5,
2010-03-06 02,3,
2010-03-06 03,1,
2010-03-06 04,2,
2010-03-06 05,3,
2010-03-06 06,2,
2010-03-06 07,6,
2010-03-06 08,8,
2010-03-06 09,16,
2010-03-06 10,34,
2010-03-06 11,34,
2010-03-06 12,39,
2010-03-06 13,22,
2010-03-06 14,10,
2010-03-06 15,27,
2010-03-06 16,38,
2010-03-06 17,18,
2010-03-06 18,32,
2010-03-06 19,20,
2010-03-06 20,26,
2010-03-06 21,32,
2010-03-06 22,27,
2010-03-06 23,11,
2010-03-07 00,7,
2010-03-07 01,10,
2010-03-07 02,3,
2010-03-07 03,6,
2010-03-07 04,1,
2010-03-07 05,5,
2010-03-07 06,2,
2010-03-07 07,2,
2010-03-07 08,9,
2010-03-07 09,24,
2010-03-07 10,32,
2010-03-07 11,28,
2010-03-07 12,40,
2010-03-07 13,30,
2010-03-07 14,12,
2010-03-07 15,15,
2010-03-07 16,23,
2010-03-07 17,26,
2010-03-07 18,25,
2010-03-07 19,37,
2010-03-07 20,31,
2010-03-07 21,9,
2010-03-07 22,29,
2010-03-07 23,21,
2010-03-08 00,8,
2010-03-08 01,3,
2010-03-08 02,5,
2010-03-08 03,2,
2010-03-08 04,1,
2010-03-08 05,1,
2010-03-08 06,6,
2010-03-08 07,14,
2010-03-08 08,12,
2010-03-08 09,16,
2010-03-08 10,39,
2010-03-08 11,22,
2010-03-08 12,24,
2010-03-08 13,29,
2010-03-08 14,20,
2010-03-08 15,21,
2010-03-08 16,26,
2010-03-08 17,26,
2010-03-08 18,17,
2010-03-08 19,28,
2010-03-08 20,16,
2010-03-08 21,21,
2010-03-08 22,26,
2010-03-08 23,14,
2010-03-09 00,5,
2010-03-09 01,5,
2010-03-09 02,3,
2010-03-09 03,1,
2010-03-09 04,0,
2010-03-09 05,0,
2010-03-09 06,2,
2010-03-09 07,7,
2010-03-09 08,15,
2010-03-09 09,27,
2010-03-09 10,21,
2010-03-09 11,25,
2010-03-09 12,30,
2010-03-09 13,19,
2010-03-09 14,22,
2010-03-09 15,22,
2010-03-09 16,21,
2010-03-09 17,28,
2010-03-09 18,26,
2010-03-09 19,13,
2010-03-09 20,18,
2010-03-09 21,20,
2010-03-09 22,22,
2010-03-09 23,17,
2010-03-10 00,19,
2010-03-10 01,2,
2010-03-10 02,6,
2010-03-10 03,5,
2010-03-10 04,5,
2010-03-10 05,1,
2010-03-10 06,2,
2010-03-10 07,2,
2010-03-10 08,10,
2010-03-10 09,27,
2010-03-10 10,23,
2010-03-10 11,42,
2010-03-10 12,32,
2010-03-10 13,21,
2010-03-10 14,25,
2010-03-10 15,27,
2010-03-10 16,25,
2010-03-10 17,31,
2010-03-10 18,23,
2010-03-10 19,18,
2010-03-10 20,23,
2010-03-10 21,24,
2010-03-10 22,9,
2010-03-10 23,10,
2010-03-11 00,13,
2010-03-11 01,7,
2010-03-11 02,4,
2010-03-11 03,2,
2010-03-11 04,0,
2010-03-11 05,3,
2010-03-11 06,1,
2010-03-11 07,7,
2010-03-11 08,15,
2010-03-11 09,25,
2010-03-11 10,34,
2010-03-11 11,28,
2010-03-11 12,32,
2010-03-11 13,18,
2010-03-11 14,24,
2010-03-11 15,21,
2010-03-11 16,18,
2010-03-11 17,28,
2010-03-11 18,21,
2010-03-11 19,12,
2010-03-11 20,18,
2010-03-11 21,24,
2010-03-11 22,24,
2010-03-11 23,18,
2010-03-12 00,10,
2010-03-12 01,5,
2010-03-12 02,7,
2010-03-12 03,5,
2010-03-12 04,2,
2010-03-12 05,2,
2010-03-12 06,4,
2010-03-12 07,1,
2010-03-12 08,13,
2010-03-12 09,24,
2010-03-12 10,42,
2010-03-12 11,35,
2010-03-12 12,34,
2010-03-12 13,32,
2010-03-12 14,31,
2010-03-12 15,24,
2010-03-12 16,37,
2010-03-12 17,28,
2010-03-12 18,24,
2010-03-12 19,23,
2010-03-12 20,24,
2010-03-12 21,16,
2010-03-12 22,23,
2010-03-12 23,8,
2010-03-13 00,12,
2010-03-13 01,5,
2010-03-13 02,4,
2010-03-13 03,4,
2010-03-13 04,4,
2010-03-13 05,2,
2010-03-13 06,1,
2010-03-13 07,10,
2010-03-13 08,8,
2010-03-13 09,23,
2010-03-13 10,21,
2010-03-13 11,20,
2010-03-13 12,29,
2010-03-13 13,19,
2010-03-13 14,19,
2010-03-13 15,15,
2010-03-13 16,27,
2010-03-13 17,41,
2010-03-13 18,38,
2010-03-13 19,22,
2010-03-13 20,23,
2010-03-13 21,10,
2010-03-13 22,16,
2010-03-13 23,20,
2010-03-14 00,14,
2010-03-14 01,3,
2010-03-14 02,5,
2010-03-14 03,3,
2010-03-14 04,2,
2010-03-14 05,0,
2010-03-14 06,3,
2010-03-14 07,3,
2010-03-14 08,10,
2010-03-14 09,17,
2010-03-14 10,21,
2010-03-14 11,13,
2010-03-14 12,23,
2010-03-14 13,15,
2010-03-14 14,16,
2010-03-14 15,15,
2010-03-14 16,20,
2010-03-14 17,17,
2010-03-14 18,26,
2010-03-14 19,9,
2010-03-14 20,12,
2010-03-14 21,23,
2010-03-14 22,13,
2010-03-14 23,17,
2010-03-15 00,15,
2010-03-15 01,8,
2010-03-15 02,2,
2010-03-15 03,2,
2010-03-15 04,5,
2010-03-15 05,0,
2010-03-15 06,2,
2010-03-15 07,1,
2010-03-15 08,15,
2010-03-15 09,18,
2010-03-15 10,34,
2010-03-15 11,29,
2010-03-15 12,21,
2010-03-15 13,32,
2010-03-15 14,20,
2010-03-15 15,22,
2010-03-15 16,22,
2010-03-15 17,34,
2010-03-15 18,21,
2010-03-15 19,23,
2010-03-15 20,20,
2010-03-15 21,18,
2010-03-15 22,23,
2010-03-15 23,12,
2010-03-16 00,8,
2010-03-16 01,4,
2010-03-16 02,5,
2010-03-16 03,3,
2010-03-16 04,1,
2010-03-16 05,1,
2010-03-16 06,4,
2010-03-16 07,5,
2010-03-16 08,15,
2010-03-16 09,26,
2010-03-16 10,24,
2010-03-16 11,23,
2010-03-16 12,33,
2010-03-16 13,24,
2010-03-16 14,21,
2010-03-16 15,24,
2010-03-16 16,16,
2010-03-16 17,15,
2010-03-16 18,22,
2010-03-16 19,15,
2010-03-16 20,25,
2010-03-16 21,26,
2010-03-16 22,22,
2010-03-16 23,13,
2010-03-17 00,14,
2010-03-17 01,10,
2010-03-17 02,5,
2010-03-17 03,2,
2010-03-17 04,5,
2010-03-17 05,0,
2010-03-17 06,1,
2010-03-17 07,5,
2010-03-17 08,17,
2010-03-17 09,27,
2010-03-17 10,37,
2010-03-17 11,34,
2010-03-17 12,26,
2010-03-17 13,15,
2010-03-17 14,26,
2010-03-17 15,34,
2010-03-17 16,10,
2010-03-17 17,18,
2010-03-17 18,26,
2010-03-17 19,23,
2010-03-17 20,21,
2010-03-17 21,15,
2010-03-17 22,19,
2010-03-17 23,11,
2010-03-18 00,12,
2010-03-18 01,7,
2010-03-18 02,6,
2010-03-18 03,2,
2010-03-18 04,5,
2010-03-18 05,2,
2010-03-18 06,3,
2010-03-18 07,8,
2010-03-18 08,15,
2010-03-18 09,25,
2010-03-18 10,33,
2010-03-18 11,143,
2010-03-18 12,22,
2010-03-18 13,22,
2010-03-18 14,18,
2010-03-18 15,22,
2010-03-18 16,34,
2010-03-18 17,16,
2010-03-18 18,37,
2010-03-18 19,18,
2010-03-18 20,13,
2010-03-18 21,15,
2010-03-18 22,18,
2010-03-18 23,18,
2010-03-19 00,11,
2010-03-19 01,3,
2010-03-19 02,6,
2010-03-19 03,1,
2010-03-19 04,1,
2010-03-19 05,3,
2010-03-19 06,2,
2010-03-19 07,2,
2010-03-19 08,14,
2010-03-19 09,28,
2010-03-19 10,27,
2010-03-19 11,24,
2010-03-19 12,37,
2010-03-19 13,27,
2010-03-19 14,27,
2010-03-19 15,25,
2010-03-19 16,25,
2010-03-19 17,20,
2010-03-19 18,23,
2010-03-19 19,31,
2010-03-19 20,18,
2010-03-19 21,20,
2010-03-19 22,18,
2010-03-19 23,13,
2010-03-20 00,7,
2010-03-20 01,2,
2010-03-20 02,3,
2010-03-20 03,7,
2010-03-20 04,0,
2010-03-20 05,1,
2010-03-20 06,3,
2010-03-20 07,9,
2010-03-20 08,4,
2010-03-20 09,19,
2010-03-20 10,22,
2010-03-20 11,29,
2010-03-20 12,21,
2010-03-20 13,29,
2010-03-20 14,26,
2010-03-20 15,17,
2010-03-20 16,11,
2010-03-20 17,33,
2010-03-20 18,23,
2010-03-20 19,22,
2010-03-20 20,20,
2010-03-20 21,22,
2010-03-20 22,8,
2010-03-20 23,14,
2010-03-21 00,11,
2010-03-21 01,14,
2010-03-21 02,8,
2010-03-21 03,4,
2010-03-21 04,2,
2010-03-21 05,5,
2010-03-21 06,2,
2010-03-21 07,9,
2010-03-21 08,12,
2010-03-21 09,12,
2010-03-21 10,19,
2010-03-21 11,32,
2010-03-21 12,28,
2010-03-21 13,30,
2010-03-21 14,14,
2010-03-21 15,18,
2010-03-21 16,16,
2010-03-21 17,19,
2010-03-21 18,22,
2010-03-21 19,27,
2010-03-21 20,21,
2010-03-21 21,16,
2010-03-21 22,13,
2010-03-21 23,15,
2010-03-22 00,17,
2010-03-22 01,6,
2010-03-22 02,1,
2010-03-22 03,4,
2010-03-22 04,0,
2010-03-22 05,2,
2010-03-22 06,2,
2010-03-22 07,4,
2010-03-22 08,8,
2010-03-22 09,19,
2010-03-22 10,19,
2010-03-22 11,24,
2010-03-22 12,33,
2010-03-22 13,25,
2010-03-22 14,16,
2010-03-22 15,13,
2010-03-22 16,16,
2010-03-22 17,26,
2010-03-22 18,20,
2010-03-22 19,17,
2010-03-22 20,12,
2010-03-22 21,13,
2010-03-22 22,13,
2010-03-22 23,24,
2010-03-23 00,11,
2010-03-23 01,4,
2010-03-23 02,2,
2010-03-23 03,2,
2010-03-23 04,0,
2010-03-23 05,0,
2010-03-23 06,3,
2010-03-23 07,9,
2010-03-23 08,12,
2010-03-23 09,23,
2010-03-23 10,30,
2010-03-23 11,32,
2010-03-23 12,30,
2010-03-23 13,14,
2010-03-23 14,25,
2010-03-23 15,31,
2010-03-23 16,24,
2010-03-23 17,17,
2010-03-23 18,17,
2010-03-23 19,25,
2010-03-23 20,23,
2010-03-23 21,16,
2010-03-23 22,16,
2010-03-23 23,17,
2010-03-24 00,8,
2010-03-24 01,6,
2010-03-24 02,7,
2010-03-24 03,3,
2010-03-24 04,4,
2010-03-24 05,2,
2010-03-24 06,2,
2010-03-24 07,4,
2010-03-24 08,23,
2010-03-24 09,25,
2010-03-24 10,35,
2010-03-24 11,26,
2010-03-24 12,22,
2010-03-24 13,27,
2010-03-24 14,17,
2010-03-24 15,10,
2010-03-24 16,15,
2010-03-24 17,29,
2010-03-24 18,22,
2010-03-24 19,8,
2010-03-24 20,15,
2010-03-24 21,19,
2010-03-24 22,24,
2010-03-24 23,18,
2010-03-25 00,13,
2010-03-25 01,5,
2010-03-25 02,1,
2010-03-25 03,1,
2010-03-25 04,2,
2010-03-25 05,5,
2010-03-25 06,2,
2010-03-25 07,7,
2010-03-25 08,16,
2010-03-25 09,28,
2010-03-25 10,31,
2010-03-25 11,25,
2010-03-25 12,31,
2010-03-25 13,26,
2010-03-25 14,25,
2010-03-25 15,20,
2010-03-25 16,33,
2010-03-25 17,16,
2010-03-25 18,31,
2010-03-25 19,17,
2010-03-25 20,28,
2010-03-25 21,20,
2010-03-25 22,14,
2010-03-25 23,20,
2010-03-26 00,5,
2010-03-26 01,9,
2010-03-26 02,4,
2010-03-26 03,5,
2010-03-26 04,3,
2010-03-26 05,0,
2010-03-26 06,8,
2010-03-26 07,18,
2010-03-26 08,27,
2010-03-26 09,21,
2010-03-26 10,26,
2010-03-26 11,27,
2010-03-26 12,21,
2010-03-26 13,16,
2010-03-26 14,26,
2010-03-26 15,19,
2010-03-26 16,29,
2010-03-26 17,28,
2010-03-26 18,21,
2010-03-26 19,19,
2010-03-26 20,34,
2010-03-26 21,26,
2010-03-26 22,8,
2010-03-27 23,11,
2010-03-27 00,12,
2010-03-27 01,3,
2010-03-27 02,3,
2010-03-27 03,1,
2010-03-27 04,1,
2010-03-27 05,1,
2010-03-27 06,9,
2010-03-27 07,7,
2010-03-27 08,20,
2010-03-27 09,24,
2010-03-27 10,21,
2010-03-27 11,24,
2010-03-27 12,10,
2010-03-27 13,22,
2010-03-27 14,25,
2010-03-27 15,14,
2010-03-27 16,23,
2010-03-27 17,16,
2010-03-27 18,28,
2010-03-27 19,24,
2010-03-27 20,14,
2010-03-27 21,30,
2010-03-27 22,13,
2010-03-28 23,6,
2010-03-28 00,11,
2010-03-28 01,10,
2010-03-28 02,1,
2010-03-28 03,5,
2010-03-28 04,1,
2010-03-28 05,4,
2010-03-28 06,5,
2010-03-28 07,5,
2010-03-28 08,6,
2010-03-28 09,24,
2010-03-28 10,17,
2010-03-28 11,15,
2010-03-28 12,13,
2010-03-28 13,13,
2010-03-28 14,6,
2010-03-28 15,13,
2010-03-28 16,15,
2010-03-28 17,17,
2010-03-28 18,10,
2010-03-28 19,14,
2010-03-28 20,11,
2010-03-28 21,28,
2010-03-28 22,8,
2010-03-29 23,9,
2010-03-29 00,6,
2010-03-29 01,4,
2010-03-29 02,3,
2010-03-29 03,3,
2010-03-29 04,2,
2010-03-29 05,1,
2010-03-29 06,4,
2010-03-29 07,20,
2010-03-29 08,35,
2010-03-29 09,24,
2010-03-29 10,35,
2010-03-29 11,15,
2010-03-29 12,25,
2010-03-29 13,19,
2010-03-29 14,18,
2010-03-29 15,19,
2010-03-29 16,21,
2010-03-29 17,22,
2010-03-29 18,17,
2010-03-29 19,16,
2010-03-29 20,24,
2010-03-29 21,11,
2010-03-29 22,14,
2010-03-30 23,7,
2010-03-30 00,2,
2010-03-30 01,3,
2010-03-30 02,0,
2010-03-30 03,0,
2010-03-30 04,1,
2010-03-30 05,3,
2010-03-30 06,9,
2010-03-30 07,22,
2010-03-30 08,25,
2010-03-30 09,26,
2010-03-30 10,21,
2010-03-30 11,30,
2010-03-30 12,20,
2010-03-30 13,15,
2010-03-30 14,22,
2010-03-30 15,21,
2010-03-30 16,24,
2010-03-30 17,16,
2010-03-30 18,17,
2010-03-30 19,14,
2010-03-30 20,25,
2010-03-30 21,24,
2010-03-30 22,14,
2010-03-31 23,6,
2010-03-31 00,5,
2010-03-31 01,9,
2010-03-31 02,2,
2010-03-31 03,2,
2010-03-31 04,3,
2010-03-31 05,6,
2010-03-31 06,17,
2010-03-31 07,22,
2010-03-31 08,23,
2010-03-31 09,29,
2010-03-31 10,20,
2010-03-31 11,23,
2010-03-31 12,27,
2010-03-31 13,24,
2010-03-31 14,17,
2010-03-31 15,30,
2010-03-31 16,18,
2010-03-31 17,21,
2010-03-31 18,21,
2010-03-31 19,22,
2010-03-31 20,20,
2010-03-31 21,9,
2010-03-31 22,13,
2010-04-01 23,7,
2010-04-01 00,3,
2010-04-01 01,1,
2010-04-01 02,0,
2010-04-01 03,0,
2010-04-01 04,3,
2010-04-01 05,5,
2010-04-01 06,7,
2010-04-01 07,23,
2010-04-01 08,33,
2010-04-01 09,36,
2010-04-01 10,27,
2010-04-01 11,13,
2010-04-01 12,22,
2010-04-01 13,16,
2010-04-01 14,20,
2010-04-01 15,20,
2010-04-01 16,15,
2010-04-01 17,27,
2010-04-01 18,10,
2010-04-01 19,31,
2010-04-01 20,17,
2010-04-01 21,13,
2010-04-01 22,13,
2010-04-02 23,18,
2010-04-02 00,7,
2010-04-02 01,1,
2010-04-02 02,1,
2010-04-02 03,2,
2010-04-02 04,0,
2010-04-02 05,2,
2010-04-02 06,5,
2010-04-02 07,29,
2010-04-02 08,22,
2010-04-02 09,26,
2010-04-02 10,17,
2010-04-02 11,20,
2010-04-02 12,26,
2010-04-02 13,13,
2010-04-02 14,8,
2010-04-02 15,19,
2010-04-02 16,20,
2010-04-02 17,12,
2010-04-02 18,15,
2010-04-02 19,21,
2010-04-02 20,18,
2010-04-02 21,10,
2010-04-02 22,19,
2010-04-03 23,4,
2010-04-03 00,6,
2010-04-03 01,2,
2010-04-03 02,2,
2010-04-03 03,1,
2010-04-03 04,1,
2010-04-03 05,1,
2010-04-03 06,12,
2010-04-03 07,17,
2010-04-03 08,26,
2010-04-03 09,23,
2010-04-03 10,15,
2010-04-03 11,11,
2010-04-03 12,23,
2010-04-03 13,17,
2010-04-03 14,13,
2010-04-03 15,17,
2010-04-03 16,13,
2010-04-03 17,12,
2010-04-03 18,23,
2010-04-03 19,24,
2010-04-03 20,14,
2010-04-03 21,14,
2010-04-03 22,7,
2010-04-04 23,10,
2010-04-04 00,1,
2010-04-04 01,4,
2010-04-04 02,2,
2010-04-04 03,2,
2010-04-04 04,2,
2010-04-04 05,4,
2010-04-04 06,4,
2010-04-04 07,14,
2010-04-04 08,11,
2010-04-04 09,19,
2010-04-04 10,12,
2010-04-04 11,10,
2010-04-04 12,9,
2010-04-04 13,8,
2010-04-04 14,8,
2010-04-04 15,13,
2010-04-04 16,19,
2010-04-04 17,25,
2010-04-04 18,37,
2010-04-04 19,18,
2010-04-04 20,14,
2010-04-04 21,21,
2010-04-04 22,7,
2010-04-05 23,10,
2010-04-05 00,3,
2010-04-05 01,5,
2010-04-05 02,2,
2010-04-05 03,0,
2010-04-05 04,3,
2010-04-05 05,0,
2010-04-05 06,6,
2010-04-05 07,14,
2010-04-05 08,16,
2010-04-05 09,14,
2010-04-05 10,25,
2010-04-05 11,5,
2010-04-05 12,14,
2010-04-05 13,11,
2010-04-05 14,7,
2010-04-05 15,11,
2010-04-05 16,21,
2010-04-05 17,7,
2010-04-05 18,31,
2010-04-05 19,25,
2010-04-05 20,18,
2010-04-05 21,8,
2010-04-05 22,10,
2010-04-06 23,5,
2010-04-06 00,2,
2010-04-06 01,0,
2010-04-06 02,6,
2010-04-06 03,1,
2010-04-06 04,0,
2010-04-06 05,1,
2010-04-06 06,4,
2010-04-06 07,18,
2010-04-06 08,22,
2010-04-06 09,29,
2010-04-06 10,19,
2010-04-06 11,20,
2010-04-06 12,27,
2010-04-06 13,16,
