Date,Wikipedia[it],
2009-01-25 03,32,
2009-01-25 04,20,
2009-01-25 05,19,
2009-01-25 06,16,
2009-01-25 07,26,
2009-01-25 08,68,
2009-01-25 09,226,
2009-01-25 10,353,
2009-01-25 11,516,
2009-01-25 12,495,
2009-01-25 13,370,
2009-01-25 14,509,
2009-01-25 15,582,
2009-01-25 16,582,
2009-01-25 17,630,
2009-01-25 18,695,
2009-01-25 19,656,
2009-01-25 20,467,
2009-01-25 21,425,
2009-01-25 22,345,
2009-01-25 23,268,
2009-01-26 00,160,
2009-01-26 01,59,
2009-01-26 02,43,
2009-01-26 03,32,
2009-01-26 04,18,
2009-01-26 05,13,
2009-01-26 06,22,
2009-01-26 07,46,
2009-01-26 08,178,
2009-01-26 09,382,
2009-01-26 10,454,
2009-01-26 11,593,
2009-01-26 12,605,
2009-01-26 13,458,
2009-01-26 14,624,
2009-01-26 15,837,
2009-01-26 16,862,
2009-01-26 17,936,
2009-01-26 18,875,
2009-01-26 19,833,
2009-01-26 20,679,
2009-01-26 21,579,
2009-01-26 22,470,
2009-01-26 23,311,
2009-01-27 00,173,
2009-01-27 01,105,
2009-01-27 02,47,
2009-01-27 03,27,
2009-01-27 04,17,
2009-01-27 05,20,
2009-01-27 06,16,
2009-01-27 07,47,
2009-01-27 08,204,
2009-01-27 09,389,
2009-01-27 10,493,
2009-01-27 11,594,
2009-01-27 12,559,
2009-01-27 13,454,
2009-01-27 14,737,
2009-01-27 15,899,
2009-01-27 16,833,
2009-01-27 17,923,
2009-01-27 18,872,
2009-01-27 19,717,
2009-01-27 20,585,
2009-01-27 21,554,
2009-01-27 22,490,
2009-01-27 23,278,
2009-01-28 00,175,
2009-01-28 01,78,
2009-01-28 02,48,
2009-01-28 03,32,
2009-01-28 04,33,
2009-01-28 05,17,
2009-01-28 06,24,
2009-01-28 07,52,
2009-01-28 08,228,
2009-01-28 09,377,
2009-01-28 10,532,
2009-01-28 11,554,
2009-01-28 12,559,
2009-01-28 13,439,
2009-01-28 14,598,
2009-01-28 15,835,
2009-01-28 16,894,
2009-01-28 17,847,
2009-01-28 18,775,
2009-01-28 19,719,
2009-01-28 20,577,
2009-01-28 21,469,
2009-01-28 22,362,
2009-01-28 23,261,
2009-01-29 00,173,
2009-01-29 01,101,
2009-01-29 02,39,
2009-01-29 03,38,
2009-01-29 04,22,
2009-01-29 05,16,
2009-01-29 06,31,
2009-01-29 07,47,
2009-01-29 08,204,
2009-01-29 09,389,
2009-01-29 10,460,
2009-01-29 11,568,
2009-01-29 12,518,
2009-01-29 13,478,
2009-01-29 14,639,
2009-01-29 15,807,
2009-01-29 16,788,
2009-01-29 17,857,
2009-01-29 18,773,
2009-01-29 19,573,
2009-01-29 20,551,
2009-01-29 21,552,
2009-01-29 22,427,
2009-01-29 23,269,
2009-01-30 00,161,
2009-01-30 01,89,
2009-01-30 02,44,
2009-01-30 03,38,
2009-01-30 04,32,
2009-01-30 05,19,
2009-01-30 06,15,
2009-01-30 07,62,
2009-01-30 08,204,
2009-01-30 09,360,
2009-01-30 10,466,
2009-01-30 11,482,
2009-01-30 12,528,
2009-01-30 13,409,
2009-01-30 14,534,
2009-01-30 15,621,
2009-01-30 16,721,
2009-01-30 17,723,
2009-01-30 18,634,
2009-01-30 19,498,
2009-01-30 20,436,
2009-01-30 21,425,
2009-01-30 22,341,
2009-01-30 23,266,
2009-01-31 00,145,
2009-01-31 01,107,
2009-01-31 02,45,
2009-01-31 03,32,
2009-01-31 04,21,
2009-01-31 05,17,
2009-01-31 06,19,
2009-01-31 07,42,
2009-01-31 08,109,
2009-01-31 09,261,
2009-01-31 10,357,
2009-01-31 11,431,
2009-01-31 12,397,
2009-01-31 13,312,
2009-01-31 14,441,
2009-01-31 15,541,
2009-01-31 16,684,
2009-01-31 17,531,
2009-01-31 18,501,
2009-01-31 19,309,
2009-01-31 20,244,
2009-01-31 21,222,
2009-01-31 22,186,
2009-01-31 23,135,
2009-02-01 00,106,
2009-02-01 01,50,
2009-02-01 02,42,
2009-02-01 03,46,
2009-02-01 04,24,
2009-02-01 05,5,
2009-02-01 06,11,
2009-02-01 07,12,
2009-02-01 08,60,
2009-02-01 09,133,
2009-02-01 10,200,
2009-02-01 11,296,
2009-02-01 12,268,
2009-02-01 13,283,
2009-02-01 14,281,
2009-02-01 15,311,
2009-02-01 16,309,
2009-02-01 17,391,
2009-02-01 18,425,
2009-02-01 19,312,
2009-02-01 20,284,
2009-02-01 21,239,
2009-02-01 22,197,
2009-02-01 23,143,
2009-02-02 00,100,
2009-02-02 01,50,
2009-02-02 02,32,
2009-02-02 03,24,
2009-02-02 04,5,
2009-02-02 05,7,
2009-02-02 06,19,
2009-02-02 07,40,
2009-02-02 08,108,
2009-02-02 09,215,
2009-02-02 10,282,
2009-02-02 11,307,
2009-02-02 12,317,
2009-02-02 13,261,
2009-02-02 14,326,
2009-02-02 15,424,
2009-02-02 16,481,
2009-02-02 17,454,
2009-02-02 18,388,
2009-02-02 19,296,
2009-02-02 20,369,
2009-02-02 21,340,
2009-02-02 22,246,
2009-02-02 23,167,
2009-02-03 00,100,
2009-02-03 01,52,
2009-02-03 02,24,
2009-02-03 03,20,
2009-02-03 04,8,
2009-02-03 05,9,
2009-02-03 06,11,
2009-02-03 07,41,
2009-02-03 08,114,
2009-02-03 09,187,
2009-02-03 10,265,
2009-02-03 11,392,
2009-02-03 12,473,
2009-02-03 13,396,
2009-02-03 14,589,
2009-02-03 15,782,
2009-02-03 16,879,
2009-02-03 17,838,
2009-02-03 18,848,
2009-02-03 19,701,
2009-02-03 20,601,
2009-02-03 21,558,
2009-02-03 22,457,
2009-02-03 23,298,
2009-02-04 00,160,
2009-02-04 01,66,
2009-02-04 02,39,
2009-02-04 03,21,
2009-02-04 04,25,
2009-02-04 05,15,
2009-02-04 06,33,
2009-02-04 07,65,
2009-02-04 08,199,
2009-02-04 09,389,
2009-02-04 10,487,
2009-02-04 11,563,
2009-02-04 12,563,
2009-02-04 13,439,
2009-02-04 14,636,
2009-02-04 15,808,
2009-02-04 16,803,
2009-02-04 17,923,
2009-02-04 18,788,
2009-02-04 19,656,
2009-02-04 20,754,
2009-02-04 21,608,
2009-02-04 22,437,
2009-02-04 23,274,
2009-02-05 00,164,
2009-02-05 01,100,
2009-02-05 02,54,
2009-02-05 03,24,
2009-02-05 04,15,
2009-02-05 05,24,
2009-02-05 06,20,
2009-02-05 07,71,
2009-02-05 08,211,
2009-02-05 09,399,
2009-02-05 10,510,
2009-02-05 11,556,
2009-02-05 12,567,
2009-02-05 13,509,
2009-02-05 14,704,
2009-02-05 15,871,
2009-02-05 16,918,
2009-02-05 17,950,
2009-02-05 18,901,
2009-02-05 19,706,
2009-02-05 20,589,
2009-02-05 21,549,
2009-02-05 22,465,
2009-02-05 23,300,
2009-02-06 00,182,
2009-02-06 01,103,
2009-02-06 02,56,
2009-02-06 03,31,
2009-02-06 04,16,
2009-02-06 05,21,
2009-02-06 06,34,
2009-02-06 07,63,
2009-02-06 08,214,
2009-02-06 09,369,
2009-02-06 10,562,
2009-02-06 11,590,
2009-02-06 12,568,
2009-02-06 13,428,
2009-02-06 14,627,
2009-02-06 15,817,
2009-02-06 16,1001,
2009-02-06 17,875,
2009-02-06 18,794,
2009-02-06 19,570,
2009-02-06 20,486,
2009-02-06 21,438,
2009-02-06 22,370,
2009-02-06 23,268,
2009-02-07 00,167,
2009-02-07 01,112,
2009-02-07 02,57,
2009-02-07 03,26,
2009-02-07 04,31,
2009-02-07 05,12,
2009-02-07 06,25,
2009-02-07 07,46,
2009-02-07 08,133,
2009-02-07 09,277,
2009-02-07 10,396,
2009-02-07 11,545,
2009-02-07 12,507,
2009-02-07 13,381,
2009-02-07 14,536,
2009-02-07 15,620,
2009-02-07 16,605,
2009-02-07 17,560,
2009-02-07 18,616,
2009-02-07 19,516,
2009-02-07 20,356,
2009-02-07 21,357,
2009-02-07 22,307,
2009-02-07 23,254,
2009-02-08 00,163,
2009-02-08 01,148,
2009-02-08 02,80,
2009-02-08 03,32,
2009-02-08 04,26,
2009-02-08 05,26,
2009-02-08 06,18,
2009-02-08 07,39,
2009-02-08 08,79,
2009-02-08 09,203,
2009-02-08 10,355,
2009-02-08 11,514,
2009-02-08 12,575,
2009-02-08 13,442,
2009-02-08 14,566,
2009-02-08 15,564,
2009-02-08 16,623,
2009-02-08 17,720,
2009-02-08 18,730,
2009-02-08 19,637,
2009-02-08 20,641,
2009-02-08 21,514,
2009-02-08 22,345,
2009-02-08 23,292,
2009-02-09 00,152,
2009-02-09 01,78,
2009-02-09 02,39,
2009-02-09 03,24,
2009-02-09 04,5,
2009-02-09 05,11,
2009-02-09 06,25,
2009-02-09 07,69,
2009-02-09 08,193,
2009-02-09 09,396,
2009-02-09 10,455,
2009-02-09 11,556,
2009-02-09 12,591,
2009-02-09 13,513,
2009-02-09 14,622,
2009-02-09 15,838,
2009-02-09 16,1166,
2009-02-09 17,1095,
2009-02-09 18,931,
2009-02-09 19,876,
2009-02-09 20,598,
2009-02-09 21,572,
2009-02-09 22,458,
2009-02-09 23,288,
2009-02-10 00,170,
2009-02-10 01,101,
2009-02-10 02,51,
2009-02-10 03,20,
2009-02-10 04,23,
2009-02-10 05,19,
2009-02-10 06,27,
2009-02-10 07,70,
2009-02-10 08,225,
2009-02-10 09,422,
2009-02-10 10,496,
2009-02-10 11,542,
2009-02-10 12,554,
2009-02-10 13,504,
2009-02-10 14,640,
2009-02-10 15,957,
2009-02-10 16,932,
2009-02-10 17,924,
2009-02-10 18,825,
2009-02-10 19,619,
2009-02-10 20,571,
2009-02-10 21,534,
2009-02-10 22,388,
2009-02-10 23,304,
2009-02-11 00,160,
2009-02-11 01,79,
2009-02-11 02,41,
2009-02-11 03,27,
2009-02-11 04,19,
2009-02-11 05,25,
2009-02-11 06,13,
2009-02-11 07,59,
2009-02-11 08,191,
2009-02-11 09,405,
2009-02-11 10,514,
2009-02-11 11,545,
2009-02-11 12,522,
2009-02-11 13,456,
2009-02-11 14,634,
2009-02-11 15,813,
2009-02-11 16,917,
2009-02-11 17,882,
2009-02-11 18,850,
2009-02-11 19,759,
2009-02-11 20,588,
2009-02-11 21,557,
2009-02-11 22,438,
2009-02-11 23,317,
2009-02-12 00,209,
2009-02-12 01,115,
2009-02-12 02,48,
2009-02-12 03,24,
2009-02-12 04,12,
2009-02-12 05,25,
2009-02-12 06,36,
2009-02-12 07,65,
2009-02-12 08,233,
2009-02-12 09,455,
2009-02-12 10,488,
2009-02-12 11,571,
2009-02-12 12,534,
2009-02-12 13,452,
2009-02-12 14,561,
2009-02-12 15,789,
2009-02-12 16,885,
2009-02-12 17,815,
2009-02-12 18,756,
2009-02-12 19,671,
2009-02-12 20,553,
2009-02-12 21,525,
2009-02-12 22,377,
2009-02-12 23,258,
2009-02-13 00,138,
2009-02-13 01,76,
2009-02-13 02,53,
2009-02-13 03,25,
2009-02-13 04,26,
2009-02-13 05,18,
2009-02-13 06,19,
2009-02-13 07,50,
2009-02-13 08,222,
2009-02-13 09,378,
2009-02-13 10,511,
2009-02-13 11,539,
2009-02-13 12,531,
2009-02-13 13,420,
2009-02-13 14,603,
2009-02-13 15,727,
2009-02-13 16,766,
2009-02-13 17,745,
2009-02-13 18,650,
2009-02-13 19,554,
2009-02-13 20,548,
2009-02-13 21,389,
2009-02-13 22,343,
2009-02-13 23,217,
2009-02-14 00,146,
2009-02-14 01,68,
2009-02-14 02,34,
2009-02-14 03,18,
2009-02-14 04,22,
2009-02-14 05,20,
2009-02-14 06,21,
2009-02-14 07,54,
2009-02-14 08,139,
2009-02-14 09,275,
2009-02-14 10,326,
2009-02-14 11,418,
2009-02-14 12,423,
2009-02-14 13,319,
2009-02-14 14,494,
2009-02-14 15,517,
2009-02-14 16,487,
2009-02-14 17,460,
2009-02-14 18,450,
2009-02-14 19,366,
2009-02-14 20,318,
2009-02-14 21,268,
2009-02-14 22,253,
2009-02-14 23,223,
2009-02-15 00,163,
2009-02-15 01,109,
2009-02-15 02,43,
2009-02-15 03,32,
2009-02-15 04,12,
2009-02-15 05,12,
2009-02-15 06,20,
2009-02-15 07,33,
2009-02-15 08,73,
2009-02-15 09,232,
2009-02-15 10,399,
2009-02-15 11,508,
2009-02-15 12,456,
2009-02-15 13,364,
2009-02-15 14,482,
2009-02-15 15,441,
2009-02-15 16,497,
2009-02-15 17,634,
2009-02-15 18,693,
2009-02-15 19,612,
2009-02-15 20,509,
2009-02-15 21,465,
2009-02-15 22,306,
2009-02-15 23,238,
2009-02-16 00,143,
2009-02-16 01,57,
2009-02-16 02,28,
2009-02-16 03,23,
2009-02-16 04,16,
2009-02-16 05,15,
2009-02-16 06,21,
2009-02-16 07,67,
2009-02-16 08,192,
2009-02-16 09,369,
2009-02-16 10,527,
2009-02-16 11,542,
2009-02-16 12,534,
2009-02-16 13,460,
2009-02-16 14,629,
2009-02-16 15,836,
2009-02-16 16,880,
2009-02-16 17,803,
2009-02-16 18,805,
2009-02-16 19,602,
2009-02-16 20,644,
2009-02-16 21,523,
2009-02-16 22,436,
2009-02-16 23,281,
2009-02-17 00,165,
2009-02-17 01,83,
2009-02-17 02,34,
2009-02-17 03,30,
2009-02-17 04,14,
2009-02-17 05,18,
2009-02-17 06,29,
2009-02-17 07,67,
2009-02-17 08,235,
2009-02-17 09,393,
2009-02-17 10,481,
2009-02-17 11,519,
2009-02-17 12,523,
2009-02-17 13,452,
2009-02-17 14,645,
2009-02-17 15,781,
2009-02-17 16,845,
2009-02-17 17,945,
2009-02-17 18,848,
2009-02-17 19,726,
2009-02-17 20,652,
2009-02-17 21,525,
2009-02-17 22,373,
2009-02-17 23,273,
2009-02-18 00,159,
2009-02-18 01,84,
2009-02-18 02,40,
2009-02-18 03,29,
2009-02-18 04,7,
2009-02-18 05,18,
2009-02-18 06,24,
2009-02-18 07,76,
2009-02-18 08,235,
2009-02-18 09,397,
2009-02-18 10,493,
2009-02-18 11,625,
2009-02-18 12,575,
2009-02-18 13,485,
2009-02-18 14,639,
2009-02-18 15,738,
2009-02-18 16,875,
2009-02-18 17,845,
2009-02-18 18,807,
2009-02-18 19,713,
2009-02-18 20,586,
2009-02-18 21,538,
2009-02-18 22,432,
2009-02-18 23,344,
2009-02-19 00,157,
2009-02-19 01,65,
2009-02-19 02,36,
2009-02-19 03,24,
2009-02-19 04,15,
2009-02-19 05,21,
2009-02-19 06,28,
2009-02-19 07,76,
2009-02-19 08,220,
2009-02-19 09,428,
2009-02-19 10,440,
2009-02-19 11,553,
2009-02-19 12,523,
2009-02-19 13,460,
2009-02-19 14,606,
2009-02-19 15,745,
2009-02-19 16,776,
2009-02-19 17,809,
2009-02-19 18,856,
2009-02-19 19,641,
2009-02-19 20,552,
2009-02-19 21,505,
2009-02-19 22,360,
2009-02-19 23,242,
2009-02-20 00,149,
2009-02-20 01,79,
2009-02-20 02,36,
2009-02-20 03,37,
2009-02-20 04,20,
2009-02-20 05,10,
2009-02-20 06,24,
2009-02-20 07,70,
2009-02-20 08,234,
2009-02-20 09,397,
2009-02-20 10,463,
2009-02-20 11,502,
2009-02-20 12,490,
2009-02-20 13,407,
2009-02-20 14,564,
2009-02-20 15,636,
2009-02-20 16,664,
2009-02-20 17,918,
2009-02-20 18,672,
2009-02-20 19,557,
2009-02-20 20,458,
2009-02-20 21,455,
2009-02-20 22,359,
2009-02-20 23,221,
2009-02-21 00,155,
2009-02-21 01,73,
2009-02-21 02,194,
2009-02-21 03,37,
2009-02-21 04,26,
2009-02-21 05,17,
2009-02-21 06,25,
2009-02-21 07,39,
2009-02-21 08,161,
2009-02-21 09,271,
2009-02-21 10,344,
2009-02-21 11,385,
2009-02-21 12,440,
2009-02-21 13,363,
2009-02-21 14,443,
2009-02-21 15,407,
2009-02-21 16,446,
2009-02-21 17,394,
2009-02-21 18,451,
2009-02-21 19,382,
2009-02-21 20,338,
2009-02-21 21,363,
2009-02-21 22,280,
2009-02-21 23,222,
2009-02-22 00,165,
2009-02-22 01,83,
2009-02-22 02,41,
2009-02-22 03,34,
2009-02-22 04,20,
2009-02-22 05,17,
2009-02-22 06,13,
2009-02-22 07,18,
2009-02-22 08,88,
2009-02-22 09,214,
2009-02-22 10,377,
2009-02-22 11,420,
2009-02-22 12,428,
2009-02-22 13,354,
2009-02-22 14,426,
2009-02-22 15,419,
2009-02-22 16,410,
2009-02-22 17,493,
2009-02-22 18,517,
2009-02-22 19,522,
2009-02-22 20,529,
2009-02-22 21,402,
2009-02-22 22,338,
2009-02-22 23,242,
2009-02-23 00,118,
2009-02-23 01,81,
2009-02-23 02,44,
2009-02-23 03,23,
2009-02-23 04,27,
2009-02-23 05,24,
2009-02-23 06,27,
2009-02-23 07,59,
2009-02-23 08,206,
2009-02-23 09,367,
2009-02-23 10,483,
2009-02-23 11,588,
2009-02-23 12,547,
2009-02-23 13,475,
2009-02-23 14,588,
2009-02-23 15,665,
2009-02-23 16,736,
2009-02-23 17,746,
2009-02-23 18,702,
2009-02-23 19,601,
2009-02-23 20,500,
2009-02-23 21,451,
2009-02-23 22,339,
2009-02-23 23,257,
2009-02-24 00,150,
2009-02-24 01,76,
2009-02-24 02,30,
2009-02-24 03,28,
2009-02-24 04,13,
2009-02-24 05,15,
2009-02-24 06,34,
2009-02-24 07,40,
2009-02-24 08,166,
2009-02-24 09,378,
2009-02-24 10,482,
2009-02-24 11,566,
2009-02-24 12,505,
2009-02-24 13,479,
2009-02-24 14,607,
2009-02-24 15,634,
2009-02-24 16,710,
2009-02-24 17,683,
2009-02-24 18,621,
2009-02-24 19,554,
2009-02-24 20,491,
2009-02-24 21,400,
2009-02-24 22,289,
2009-02-24 23,212,
2009-02-25 00,141,
2009-02-25 01,63,
2009-02-25 02,19,
2009-02-25 03,35,
2009-02-25 04,25,
2009-02-25 05,11,
2009-02-25 06,26,
2009-02-25 07,61,
2009-02-25 08,215,
2009-02-25 09,337,
2009-02-25 10,445,
2009-02-25 11,559,
2009-02-25 12,509,
2009-02-25 13,461,
2009-02-25 14,658,
2009-02-25 15,740,
2009-02-25 16,750,
2009-02-25 17,748,
2009-02-25 18,774,
2009-02-25 19,644,
2009-02-25 20,526,
2009-02-25 21,511,
2009-02-25 22,359,
2009-02-25 23,213,
2009-02-26 00,122,
2009-02-26 01,66,
2009-02-26 02,39,
2009-02-26 03,42,
2009-02-26 04,14,
2009-02-26 05,15,
2009-02-26 06,20,
2009-02-26 07,64,
2009-02-26 08,228,
2009-02-26 09,365,
2009-02-26 10,424,
2009-02-26 11,510,
2009-02-26 12,487,
2009-02-26 13,417,
2009-02-26 14,620,
2009-02-26 15,686,
2009-02-26 16,709,
2009-02-26 17,840,
2009-02-26 18,746,
2009-02-26 19,616,
2009-02-26 20,548,
2009-02-26 21,448,
2009-02-26 22,359,
2009-02-26 23,233,
2009-02-27 00,108,
2009-02-27 01,49,
2009-02-27 02,37,
2009-02-27 03,29,
2009-02-27 04,13,
2009-02-27 05,14,
2009-02-27 06,21,
2009-02-27 07,55,
2009-02-27 08,180,
2009-02-27 09,332,
2009-02-27 10,450,
2009-02-27 11,579,
2009-02-27 12,497,
2009-02-27 13,420,
2009-02-27 14,558,
2009-02-27 15,674,
2009-02-27 16,633,
2009-02-27 17,679,
2009-02-27 18,687,
2009-02-27 19,521,
2009-02-27 20,466,
2009-02-27 21,410,
2009-02-27 22,310,
2009-02-27 23,194,
2009-02-28 00,97,
2009-02-28 01,52,
2009-02-28 02,41,
2009-02-28 03,22,
2009-02-28 04,16,
2009-02-28 05,15,
2009-02-28 06,19,
2009-02-28 07,54,
2009-02-28 08,148,
2009-02-28 09,233,
2009-02-28 10,347,
2009-02-28 11,429,
2009-02-28 12,385,
2009-02-28 13,346,
2009-02-28 14,420,
2009-02-28 15,528,
2009-02-28 16,417,
2009-02-28 17,419,
2009-02-28 18,465,
2009-02-28 19,374,
2009-02-28 20,344,
2009-02-28 21,298,
2009-02-28 22,238,
2009-02-28 23,205,
2009-03-01 00,108,
2009-03-01 01,79,
2009-03-01 02,46,
2009-03-01 03,23,
2009-03-01 04,15,
2009-03-01 05,15,
2009-03-01 06,16,
2009-03-01 07,33,
2009-03-01 08,81,
2009-03-01 09,203,
2009-03-01 10,367,
2009-03-01 11,485,
2009-03-01 12,474,
2009-03-01 13,431,
2009-03-01 14,514,
2009-03-01 15,577,
2009-03-01 16,578,
2009-03-01 17,666,
2009-03-01 18,651,
2009-03-01 19,637,
2009-03-01 20,544,
2009-03-01 21,423,
2009-03-01 22,288,
2009-03-01 23,211,
2009-03-02 00,128,
2009-03-02 01,68,
2009-03-02 02,26,
2009-03-02 03,21,
2009-03-02 04,14,
2009-03-02 05,22,
2009-03-02 06,23,
2009-03-02 07,50,
2009-03-02 08,211,
2009-03-02 09,288,
2009-03-02 10,423,
2009-03-02 11,476,
2009-03-02 12,478,
2009-03-02 13,423,
2009-03-02 14,547,
2009-03-02 15,771,
2009-03-02 16,769,
2009-03-02 17,839,
2009-03-02 18,810,
2009-03-02 19,613,
2009-03-02 20,523,
2009-03-02 21,552,
2009-03-02 22,385,
2009-03-02 23,269,
2009-03-03 00,137,
2009-03-03 01,53,
2009-03-03 02,43,
2009-03-03 03,23,
2009-03-03 04,15,
2009-03-03 05,12,
2009-03-03 06,21,
2009-03-03 07,57,
2009-03-03 08,194,
2009-03-03 09,347,
2009-03-03 10,465,
2009-03-03 11,474,
2009-03-03 12,388,
2009-03-03 13,442,
2009-03-03 14,623,
2009-03-03 15,807,
2009-03-03 16,805,
2009-03-03 17,848,
2009-03-03 18,835,
2009-03-03 19,698,
2009-03-03 20,586,
2009-03-03 21,532,
2009-03-03 22,369,
2009-03-03 23,226,
2009-03-04 00,146,
2009-03-04 01,71,
2009-03-04 02,27,
2009-03-04 03,19,
2009-03-04 04,16,
2009-03-04 05,12,
2009-03-04 06,14,
2009-03-04 07,81,
2009-03-04 08,187,
2009-03-04 09,334,
2009-03-04 10,435,
2009-03-04 11,505,
2009-03-04 12,442,
2009-03-04 13,494,
2009-03-04 14,658,
2009-03-04 15,1333,
2009-03-04 16,862,
2009-03-04 17,760,
2009-03-04 18,831,
2009-03-04 19,666,
2009-03-04 20,617,
2009-03-04 21,503,
2009-03-04 22,410,
2009-03-04 23,275,
2009-03-05 00,123,
2009-03-05 01,70,
2009-03-05 02,36,
2009-03-05 03,13,
2009-03-05 04,24,
2009-03-05 05,15,
2009-03-05 06,29,
2009-03-05 07,107,
2009-03-05 08,265,
2009-03-05 09,386,
2009-03-05 10,442,
2009-03-05 11,535,
2009-03-05 12,530,
2009-03-05 13,410,
2009-03-05 14,633,
2009-03-05 15,797,
2009-03-05 16,782,
2009-03-05 17,884,
2009-03-05 18,927,
2009-03-05 19,725,
2009-03-05 20,600,
2009-03-05 21,525,
2009-03-05 22,436,
2009-03-05 23,270,
2009-03-06 00,104,
2009-03-06 01,67,
2009-03-06 02,28,
2009-03-06 03,19,
2009-03-06 04,16,
2009-03-06 05,14,
2009-03-06 06,37,
2009-03-06 07,65,
2009-03-06 08,235,
2009-03-06 09,406,
2009-03-06 10,419,
2009-03-06 11,487,
2009-03-06 12,474,
2009-03-06 13,391,
2009-03-06 14,582,
2009-03-06 15,778,
2009-03-06 16,699,
2009-03-06 17,709,
2009-03-06 18,647,
2009-03-06 19,600,
2009-03-06 20,531,
2009-03-06 21,440,
2009-03-06 22,369,
2009-03-06 23,285,
2009-03-07 00,107,
2009-03-07 01,86,
2009-03-07 02,44,
2009-03-07 03,19,
2009-03-07 04,22,
2009-03-07 05,13,
2009-03-07 06,22,
2009-03-07 07,44,
2009-03-07 08,134,
2009-03-07 09,292,
2009-03-07 10,365,
2009-03-07 11,422,
2009-03-07 12,415,
2009-03-07 13,373,
2009-03-07 14,437,
2009-03-07 15,456,
2009-03-07 16,403,
2009-03-07 17,412,
2009-03-07 18,475,
2009-03-07 19,362,
2009-03-07 20,339,
2009-03-07 21,277,
2009-03-07 22,221,
2009-03-07 23,168,
2009-03-08 00,132,
2009-03-08 01,77,
2009-03-08 02,30,
2009-03-08 03,22,
2009-03-08 04,15,
2009-03-08 05,10,
2009-03-08 06,14,
2009-03-08 07,38,
2009-03-08 08,102,
2009-03-08 09,192,
2009-03-08 10,322,
2009-03-08 11,429,
2009-03-08 12,358,
2009-03-08 13,371,
2009-03-08 14,396,
2009-03-08 15,413,
2009-03-08 16,457,
2009-03-08 17,502,
2009-03-08 18,573,
2009-03-08 19,519,
2009-03-08 20,468,
2009-03-08 21,419,
2009-03-08 22,310,
2009-03-08 23,234,
2009-03-09 00,108,
2009-03-09 01,58,
2009-03-09 02,41,
2009-03-09 03,17,
2009-03-09 04,14,
2009-03-09 05,12,
2009-03-09 06,15,
2009-03-09 07,54,
2009-03-09 08,177,
2009-03-09 09,350,
2009-03-09 10,477,
2009-03-09 11,471,
2009-03-09 12,561,
2009-03-09 13,437,
2009-03-09 14,616,
2009-03-09 15,773,
2009-03-09 16,797,
2009-03-09 17,788,
2009-03-09 18,738,
2009-03-09 19,709,
2009-03-09 20,519,
2009-03-09 21,547,
2009-03-09 22,366,
2009-03-09 23,250,
2009-03-10 00,143,
2009-03-10 01,71,
2009-03-10 02,42,
2009-03-10 03,20,
2009-03-10 04,10,
2009-03-10 05,18,
2009-03-10 06,25,
2009-03-10 07,56,
2009-03-10 08,193,
2009-03-10 09,340,
2009-03-10 10,426,
2009-03-10 11,475,
2009-03-10 12,411,
2009-03-10 13,455,
2009-03-10 14,589,
2009-03-10 15,742,
2009-03-10 16,778,
2009-03-10 17,744,
2009-03-10 18,753,
2009-03-10 19,612,
2009-03-10 20,529,
2009-03-10 21,448,
2009-03-10 22,311,
2009-03-10 23,244,
2009-03-11 00,136,
2009-03-11 01,56,
2009-03-11 02,27,
2009-03-11 03,19,
2009-03-11 04,6,
2009-03-11 05,9,
2009-03-11 06,25,
2009-03-11 07,80,
2009-03-11 08,208,
2009-03-11 09,400,
2009-03-11 10,409,
2009-03-11 11,498,
2009-03-11 12,414,
2009-03-11 13,402,
2009-03-11 14,573,
2009-03-11 15,710,
2009-03-11 16,755,
2009-03-11 17,782,
2009-03-11 18,724,
2009-03-11 19,637,
2009-03-11 20,503,
2009-03-11 21,463,
2009-03-11 22,344,
2009-03-11 23,221,
2009-03-12 00,129,
2009-03-12 01,48,
2009-03-12 02,45,
2009-03-12 03,16,
2009-03-12 04,12,
2009-03-12 05,2,
2009-03-12 06,19,
2009-03-12 07,99,
2009-03-12 08,240,
2009-03-12 09,384,
2009-03-12 10,477,
2009-03-12 11,525,
2009-03-12 12,480,
2009-03-12 13,346,
2009-03-12 14,564,
2009-03-12 15,686,
2009-03-12 16,723,
2009-03-12 17,687,
2009-03-12 18,699,
2009-03-12 19,650,
2009-03-12 20,511,
2009-03-12 21,472,
2009-03-12 22,325,
2009-03-12 23,199,
2009-03-13 00,107,
2009-03-13 01,64,
2009-03-13 02,35,
2009-03-13 03,26,
2009-03-13 04,15,
2009-03-13 05,16,
2009-03-13 06,25,
2009-03-13 07,73,
2009-03-13 08,253,
2009-03-13 09,354,
2009-03-13 10,411,
2009-03-13 11,465,
2009-03-13 12,388,
2009-03-13 13,549,
2009-03-13 14,1020,
2009-03-13 15,706,
2009-03-13 16,647,
2009-03-13 17,635,
2009-03-13 18,625,
2009-03-13 19,554,
2009-03-13 20,473,
2009-03-13 21,396,
2009-03-13 22,386,
2009-03-13 23,183,
2009-03-14 00,126,
2009-03-14 01,62,
2009-03-14 02,56,
2009-03-14 03,26,
2009-03-14 04,19,
2009-03-14 05,20,
2009-03-14 06,24,
2009-03-14 07,45,
2009-03-14 08,139,
2009-03-14 09,261,
2009-03-14 10,336,
2009-03-14 11,421,
2009-03-14 12,396,
2009-03-14 13,326,
2009-03-14 14,381,
2009-03-14 15,437,
